review_id,review_text,gold_seat,gold_crew,gold_food,gold_ground_baggage,gold_delays,gold_value
13636,"Luxembourg to Lisbon. On arrival I didn't receive my luggage. And I received no information on the whereabouts of my luggage for 3 days. The flight duration is less than 3 hours. I was forced to buy new clothes and toiletries since my situation was precarious. I don't understand how a luggage can be lost on a direct flight of less than 3 hours duration. When I received my luggage 3 days later, I was horrified by the condition of my Luggage. My Luggage was left opened and exposed for several days and was left damaged, not being able to close completely. I was missing a white shirt and tooth brush. My luggage was searched extensively and they could not put back my affairs correctly in the right order. And could not close my luggage. No information was provided to me during these 3 days to inform me that my luggage will be opened and will be treated so horribly. The way my luggage was treated is simply not respectful of a customer. I started my Christmas holiday in an horrible way with this horrible incident. And they did not seem to be concerned at all. They never called me. they didn't put any effort on finding my luggage quickly. Very bad after service customer interaction.",x,x,x,n,x,x
8623,"The airline changed my flight schedule on the way to Abu Dhabi, without notification. This way I didn't know that my time to change flights in Munich was shortened by 20 minutes, which meant that the new boarding time in Munich was before my arrival time from my first leg. Had I known, I would not have checked in my bag. Of course my bag did not make it, so I had to survive 2 full working days in business meetings in Abu Dhabi with the same clothes I wore since the moment I left my house (the shops did not open before I started to work and we had a social event that I had to attend, so no way to go out and buy fresh clothes). The airline was not able to provide my bag before I left the hotel again on the second day, because they don’t deliver after 19:00 in the evening and were not quick enough to bring it before I had to check out on the second day, even though I wrote my exact times on the baggage claim. I came back to the airport and had to chase my bag, going in and out the security zone with their personnel. Once I got my bag I had to check it in again, because Etihad had zero understanding for me asking for access to a shower. They told me that I can pay myself to get access to a hotel, where I can shower and change and to then make a claim or I could use the public toilets for changing or the public shower behind security. I tried the online-claim on the first day and did not make it past the ticket number, because I booked via Lufthansa and Etihad didn't accept their ticket number. Etihad even weighed my backpack and since my medicine, laptop, mobile phone, jumper, passport, wallet and jumper already had 8 kg, I could not take any clothes to change with me to the shower. I will never ever use this airline again.",x,p,x,n,n,x
17888,"Accra to Washington Dulles. Given the current situation globally, just glad that I got home. South African Airways is way below current standards for business class. My seat arm rest was broken and wouldn't collapse. This took about 6 inches off my sleeping space. My food was unappealing and limited options. Even though it is a flight with a late departure with only a light meal offered for dinner, I found that I was hungry after that service and there were not even biscuits or any sort of snack available. Service was obliging but seems their company has left crew with limited options to satisfy their premium cabin customers. Flight departed and arrived on time. Pursers announcements were the classiest I have heard in ages and announcements from the cockpit equally charming and informative -- something I told the captain when we met near the baggage carousel.",n,p,n,x,p,x
19959,Gatwick to Dubrovnik. Booked BA but got this awful Titan Airways aircraft. Terrible. Very cramped with little legroom. Knees wedged into the back of the seat which is made of a hard plastic. Reminds me of flights from the 1980s. Seat also too short on the backrest so no head support. Worst flight I've been on for years. Certainly would not use them again. Flights were fairly expensive. Budget airline quality for BA prices.,n,x,x,x,x,n
11711,"Manchester to Funchal return on rather elderly B752 aircraft. The one coming back was over 31 years old. However, from the interior you would not know. Jet2 have plenty of ground staff to assist with the check in process. This is far better than other European budget airlines that I know of. They work hard to get things moving smoothly. Another difference is that most of the airlines ground handling is done by themselves and not contracted out to third parties. This makes a huge difference, especially at Manchester baggage claim. MANs handling companies are terrible, sometimes waiting over an hour for bags, but on a Jet 2 flight they got our bags very quickly. On board service was good and friendly and the pilots gave regular in flight update. The seat tray tables are too small though, the seats I find a bit thin, OK for short flights. It's a shame that Manchester Airports poor infrastructure does affect the service you get if using that airport.",n,p,x,p,x,x
10042,Flight Stuttgart-Hamburg. Was regular user of LH flights since they put GW in place I do everything I can to avoid this airline. No value for money and cost are usually higher than alternative carriers. Other carriers offer way better service and value for money. I specifically dislike the fact that on the majority of the flights I have been using seats were broken (once you lean back they recline) and airplane interior was poor condition / not cleaned. On my last trip I advised the steward on board on a chewing gum sticking to the emergency exit seat and asked him to ensure it is being removed on the next cleaning cycle. The answer was that he was not cleaning the airplane. Think that shows the service mindset. Not up to what I was used to from LH I also experienced a large share of delayed flights.,n,n,x,x,n,n
4705,"Cancel, delay, delay last minute every time we book with this airline. Delays that are hours long. Never a free ticket or offer. I’m tired getting in after midnight and who knows on the way to the airport I’m sure I will get a text there is another delay. I know it’s not weather related it’s just incompetence. Last time when we left out of New Haven they charged us five dollars to print our ticket. When we got home I after a delay I found the text that the plane was delayed 15 minutes after takeoff. So how could I have gotten my ticket on my phone when I was already on the plane. They are so cheap plus the lady at the ticket desk was rude.",x,p,x,n,n,n
3507,"We took off on time and arrived about 15 minutes early. Ground staff and cabin staff were very friendly and helpful. The advertised aircraft was an Embraer E190 but they change to an E170 allowed a look at the model which I had not flown in before. The cabin had to be sprayed before take-off at Harare while we were seated and the smell was a bit overwhelming. That aside, the punctuality and quality of meals was pretty good. The selection of beverages was very good for economy class.",x,p,p,p,p,x
20522,"My first reservation was delayed causing me to miss my connecting flight. I had to reroute to a different destination airport in order to attend the meeting I was flying to attend. Note my ticket cost over $1,900. I am 6’2 and can tell from sitting up in the plane that I am the tallest person on the flight. I asked the counter if they needed anyone for an exit row she lied and said they were completely full. On the plane they asked costumers to move to the exit seat as it was not full. I asked if I could and was dismissed. Every time I fly United there are delay issues. I do not recommend united!",p,n,x,n,n,p
20344,"The ticketing and flight experiences, both, were not just unimpressive but dismal to be exact. I booked my flight for the family of 4 - 2 adults, 2 children, from ATL to DEL via IST and back from DEL to ATL via IST. In all 4 flights, I made sure to complete seat selection online days before the flight and paid the desired amounts. But both times, Turkish Airlines disregarded my paid selections and decided to change the seats within 24 hours of the flight departure, meaning I did not have a chance to change them online. In ATL and DEL, I had to spend extra time on the check-in counter to have the family sit together because Turkish decided to assign us different seats in different rows of the airplane. The food service as well was very disappointing. While going from ATL to DEL, where we had opted for Asian Vegetarian meals and Hindu Vegetarian meals, we were given boiled spinach, white rice and boiled corn. On the return flight from DEL to ATL, we had not made food selection given the bad experience in our ATL-DEL flight. To our surprise, this time, there were no options in food other than beef. No other meat, no vegetarian options. No apologies from the flight staff, just that ""we do not have anything else"". The staff was handing over the food with beef to passengers without telling them what it was. A major red flag when it comes to taking care of the nutritional and food habits of passengers.",n,n,n,x,x,n
